date,nav_open,pnl_long,pnl_short,shadow_pnl_short,fees,rebate,financing,impact,recall_impact,n_recalls,n_reentries,n_reentry_failed,n_missing,n_short,n_long,short_notional,long_notional,fee_wavg,cash,margin_regt_initial,margin_regt_maint,margin_pm,nav,excess_equity_regt,excess_equity_pm
2021-11-05,909766443.8096949,5171972.095201218,3587342.7491021985,3587342.749102202,93994.29084984935,1946.3278361749676,-360.6617136847205,0.0,19705.755675075638,1,0,0,1,45,46,875847526.2787354,940797958.0775595,0.03863451535875774,-22385899.470086098,908322742.1781474,497953747.4030105,272496822.65344423,918413644.2735958,420459896.8705853,645916821.6201515
2021-11-08,918413644.2735958,45410064.50585541,-6193800.848817126,-6933525.340462353,93408.64505380586,2005.5262375383347,-459.7572832871745,0.0,20445.480166720867,0,1,0,0,46,46,902486806.8922505,986052712.7680658,0.03726050282681295,-28536658.962652206,944269759.8301582,517259220.2596916,283280927.94904745,957517599.5743679,440258379.3146763,674236671.6253204
2021-11-09,957517599.5743679,-11052704.200245352,2996607.967527369,2996607.9675273686,92028.3737918713,1998.8671083588376,-412.9361893416638,0.0,0.0,0,0,0,0,46,46,899490198.7614769,974999997.0649269,0.036832212969848045,-25630522.097068787,937245097.9132018,513597058.8946748,281173529.37396055,949371060.8987771,435774002.00410235,668197531.5248165
2021-11-10,949371060.8987771,-52929530.14058206,15373242.264104763,15373242.264104767,85503.14213864338,1964.7043340056316,-166.6083122864971,0.0,0.0,0,0,0,0,46,46,884116950.3025342,922070475.4703575,0.03481567812875739,-10341205.590196371,903093712.8864459,495752703.95834965,270928113.8659338,911731067.9761829,415978364.0178333,640802954.1102492
2021-11-11,911731067.9761829,25329654.13606358,-18165505.019276474,-18165505.01927648,94927.25616990842,2005.072119767338,-460.77514842683956,0.0,0.0,0,0,0,0,46,46,902282453.8953022,947400126.6357074,0.03787484958134014,-28599836.79890728,924841290.2655048,507534767.8275175,277452387.0796514,918801834.1337714,411267066.3062539,641349447.0541201
2021-11-12,918801834.1337714,10076121.114305615,-8137424.101735276,-8137424.101735279,95536.49529534277,2023.1552564899653,-592.0761159236221,0.0,0.0,0,0,0,0,46,46,910419865.4204844,957394546.673892,0.0377772274229085,-36749552.02284551,933907206.0471883,512474596.2946183,280172161.8141565,920646425.730187,408171829.43556875,640474263.9160306
2021-11-15,920646425.730187,-19471836.047188375,8806730.45424293,8806730.454242932,94526.77872874252,2003.5847505962731,-451.689744111172,0.0,0.0,0,0,0,0,46,46,901613137.7683228,937922708.5102408,0.037743061759922446,-28035915.151727915,919767923.1392817,504964618.45805705,275930376.9417845,909888345.2535194,404923726.79546237,633957968.3117349
2021-11-16,909888345.2535194,-4396657.591802349,3164907.4028060287,3164907.4028060273,95673.14949023437,1996.5516625467233,-402.2162189032104,0.0,0.0,0,0,0,0,46,46,898448248.1460254,933526066.5366114,0.0383353564187555,-24965144.621578574,915987157.3413184,502915991.0779605,274796147.2023955,908562516.2504765,405646525.172516,633766369.0480809
2021-11-17,908562516.2504765,-17492068.256959774,28389779.792200927,28389779.792200927,92623.00258777582,1933.4632547197825,-1.8520083230159679,0.0,0.0,0,0,0,0,46,46,870058464.6239021,916033989.8017011,0.03832418427882653,3333614.9814287424,893046227.2128016,490026036.8375959,267913868.16384047,919369536.3943762,429343499.5567803,651455668.2305357
2021-11-18,919369536.3943762,-12776094.55308896,30254710.609920565,30254710.609920576,89699.45381058351,1866.230539019948,-18.63556370129585,0.0,0.0,0,0,0,0,46,46,839803742.5589767,903214438.3350646,0.03845160688783464,33544014.662332535,871509090.4470206,477744732.35145915,261452727.1341062,936760300.5923725,459015568.2409134,675307573.4582664
